text,intent
my family,support_people
my friends support me,support_people
mum and dad back me,support_people
my sister is my rock,support_people
my brother helps heaps,support_people
my cousins are there for me,support_people
i talk to my auntie when i'm stressed,support_people
uncle gives solid advice,support_people
my nan and pop check in,support_people
my whole mob has my back,support_people
my best mate sarah,support_people
the girls from school help me,support_people
a teacher i trust,support_people
my youth worker is great,support_people
my partner listens,support_people
my girlfriend is supportive,support_people
the boys look out for me,support_people
people from the community centre,support_people
elders in my community guide me,support_people
my footy coach backs me,support_people
my therapist helps a lot,support_people
my counselor,support_people
my foster parents are kind,support_people
my work mates are supportive,support_people
the people i live with are good,support_people
my dog is always there for me lol,support_people
my church mob,support_people
my study group,support_people
my big sis is deadly support,support_people
my aunties check on me,support_people
i'm good at sport,strengths
i'm a fast runner,strengths
i can play guitar,strengths
i love drawing,strengths
i'm creative,strengths
i'm a good friend,strengths
i'm loyal,strengths
i'm funny,strengths
i make people laugh,strengths
i'm kind,strengths
i help my family,strengths
i'm good at listening,strengths
i can sing pretty well,strengths
i'm proud of my art,strengths
i'm a hard worker,strengths
i'm good at cooking,strengths
i'm a great gamer,strengths
i can fix things,strengths
i'm resilient,strengths
i've been through a lot and kept going,strengths
i'm smart,strengths
i do alright at school,strengths
i help when people are sad,strengths
good with kids,strengths
i am a grate cook,strengths
im good at sportz,strengths
i can write stories,strengths
deadly at footy,strengths
i care for my siblings,strengths
i’m honest,strengths
i’m a solid yarn spinner,strengths
staying positive is my thing,strengths
i pick things up quick,strengths
i'm organized with money,strengths
i learn tech fast,strengths
i worry about school,worries
exams stress me out,worries
homework is too much,worries
i'm worried about my future,worries
anxious about getting a job,worries
money is a big stress,worries
family keeps fighting,worries
parents split up,worries
trouble with friends,worries
relationship drama,worries
feeling lonely a lot,worries
worried about my health,worries
my mental health isn't good,worries
feeling depressed lately,worries
bullying at school,worries
peer pressure sucks,worries
scared about what's next,worries
not sure what to do with life,worries
worried about my nan being sick,worries
got some helth problems,worries
failing a class maybe,worries
drama with my mates,worries
what people think of me,worries
worried about climate change,worries
world feels like a mess,worries
afraid i’ll let my mob down,worries
worried about rent,worries
worry i’ll lose my job,worries
unsafe at home sometimes,worries
i stress about transport and license,worries
i want to finish school,goals
my goal is to graduate,goals
i want to get a job,goals
find work i enjoy,goals
i want to go to uni,goals
i plan to study TAFE,goals
i want to learn an instrument,goals
be healthier,goals
get fit,goals
i want to be happy,goals
i hope to feel better,goals
improve my relationships,goals
fix things with my dad,goals
save money,goals
get my driver's license,goals
travel one day,goals
make my family proud,goals
be more confident,goals
start my own business,goals
learn my language,goals
connect with culture,goals
be a role model,goals
help my community,goals
move out of home,goals
get my own place,goals
get my apprenticeship,goals
my gole is to be happy,goals
get my Ls and Ps,goals
finish this course,goals
pay off debts,goals
hi,greeting
hello there,greeting
hey,greeting
g'day,greeting
what's up,greeting
yo,greeting
howdy,greeting
good morning,greeting
good arvo,greeting
good evening,greeting
hey mate hows it going,greeting
sup,greeting
long time no see,greeting
how are ya,greeting
you there?,greeting
gday sis,greeting
alright bro?,greeting
wagwan,greeting
kia ora,greeting
hey legend,greeting
mornin ☀️,greeting
evenin’,greeting
hey cuz,greeting
hiya,greeting
hey team,greeting
yo yo,greeting
good day to you,greeting
hey champ,greeting
hey deadly one,greeting
hey mob,greeting
i'm ready,affirmation
lets start,affirmation
yeah,affirmation
yep,affirmation
ok,affirmation
okay sounds good,affirmation
sure,affirmation
alright then,affirmation
let's do it,affirmation
i guess so,affirmation
yes please,affirmation
fire away,affirmation
go on,affirmation
too easy,affirmation
sweet as,affirmation
"deadly, let's go",affirmation
keen,affirmation
sold,affirmation
righto,affirmation
lock it in,affirmation
no,negation
nope,negation
nah,negation
not really,negation
i dont want to,negation
i'd rather not,negation
never,negation
definitely not,negation
no thanks,negation
hard pass,negation
not keen,negation
leave it,negation
cant be bothered,negation
not today,negation
that’s a no from me,negation
nah sis,negation
nah cuz,negation
don't feel like it,negation
i'm out,negation
pass,negation
what is this,question
what can u do for me,question
can you help me,question
how does this work,question
whats your name,question
tell me about yourself,question
what is this chatbot for?,question
are you a real person,question
are you yarn?,question
who made you,question
how much does this cost,question
is this private,question
what can i ask you,question
how do i get started,question
why should i trust this,question
can i talk to a human,question
is this safe for kids,question
how long will it take,question
where do i click,question
what’s the next step,question
not sure what you mean,unclear
can you explain that,unclear
huh?,unclear
umm,unclear
i'm confused,unclear
what do you mean by that,unclear
i dont get it,unclear
the sky is blue,unclear
my favorite color is red,unclear
what time is it,unclear
asdfghjkl,unclear
i like pizza,unclear
can i ask a question,unclear
why are you asking me this,unclear
this is a bit weird,unclear
idk,unclear
???,unclear
wait what,unclear
eh?,unclear
what’s that got to do with it,unclear
no one,no_support
nobody,no_support
i don't have anyone,no_support
i'm all alone,no_support
by myself,no_support
i have no one to talk to,no_support
no one cares about me,no_support
i got nobody,no_support
there's no one for me,no_support
i feel very lonely,no_support
i wish i had support,no_support
i dont have any friends,no_support
my family doesn't get me,no_support
all on my own,no_support
no mob to lean on,no_support
no mates left,no_support
no safe adults,no_support
no aunties to yarn with,no_support
no elders around me,no_support
i’m isolated,no_support
nothing,no_strengths
i'm not good at anything,no_strengths
i have no strengths,no_strengths
i'm useless,no_strengths
i'm not talented,no_strengths
i'm bad at everything,no_strengths
can't think of anything,no_strengths
i dont have any skills,no_strengths
i suck at everything,no_strengths
nothing i'm proud of,no_strengths
im not special,no_strengths
nothing stands out,no_strengths
no wins lately,no_strengths
i never do well,no_strengths
i always mess up,no_strengths
i’m hopeless,no_strengths
"nah, i got no talents",no_strengths
not a single strength,no_strengths
zero skills,no_strengths
i’m average at best,no_strengths
i’m not worried about anything,no_worries
no worries,no_worries
"nah, i’m chill",no_worries
"i’m fine, no stress",no_worries
not stressing atm,no_worries
all good here,no_worries
i’m sweet,no_worries
no dramas,no_worries
i’m cruisy,no_worries
nothing on my mind,no_worries
not fussed,no_worries
no big issues,no_worries
i’m pretty relaxed,no_worries
no problems rn,no_worries
not worried hey,no_worries
"nah, it’s all good",no_worries
no stress at all,no_worries
i’m chillin,no_worries
nothing bugging me,no_worries
zero worries today,no_worries
i have no goals,no_goals
i don't have any goals,no_goals
i don't know what i want,no_goals
not sure,no_goals
haven't thought about it,no_goals
what's the point,no_goals
the future is bleak,no_goals
it's impossible,no_goals
i'll probably fail anyway,no_goals
no idea,no_goals
i dont know,no_goals
no plan,no_goals
nothing i’m aiming for,no_goals
cbb setting goals,no_goals
goals don’t matter,no_goals
"nah, no dreams",no_goals
i'm stuck,no_goals
i don’t care anymore,no_goals
too hard to plan,no_goals
not thinking that far,no_goals
who are you,identity_question
what are you,identity_question
are you a bot,identity_question
are you a real person,identity_question
are you human or ai,identity_question
what do i call you,identity_question
do you have a name,identity_question
where are you from,identity_question
who built you,identity_question
are you yarn?,identity_question
are you from government?,identity_question
are you a counselor,identity_question
are you like siri,identity_question
you a deadly bot or what,identity_question
are you listening all the time,identity_question
are you trained by my mob,identity_question
do you have feelings,identity_question
are you safe to talk to,identity_question
are you just a script,identity_question
are you a human behind the screen,identity_question
can you help me,help_question
i need help,help_question
could you give me a hand,help_question
how can you support me,help_question
what can you do for me,help_question
can you point me somewhere,help_question
where can i get support,help_question
who can i talk to,help_question
can you find resources,help_question
can you book me an appointment,help_question
help me figure this out,help_question
what do i do now,help_question
can you explain my options,help_question
can you listen for a bit,help_question
can you translate this for me,help_question
can you tell me next steps,help_question
how do i get a counselor,help_question
where do i go for crisis,help_question
can you check this form,help_question
can you yarn with me,help_question
feeling good today,feeling_positive
i’m happy,feeling_positive
i feel proud,feeling_positive
pretty chill,feeling_positive
i’m grateful,feeling_positive
got some good news,feeling_positive
today was deadly,feeling_positive
i’m keen and excited,feeling_positive
i’m optimistic,feeling_positive
feeling strong,feeling_positive
i’m pumped,feeling_positive
that made me smile,feeling_positive
vibes are good,feeling_positive
heart feels full,feeling_positive
i’m calm,feeling_positive
i'm okay,feeling_neutral
meh,feeling_neutral
so-so,feeling_neutral
nothing much going on,feeling_neutral
same old,feeling_neutral
i’m fine i guess,feeling_neutral
"could be better, could be worse",feeling_neutral
just cruisin,feeling_neutral
regular day,feeling_neutral
neutral about it,feeling_neutral
no big feelings rn,feeling_neutral
alright,feeling_neutral
steady,feeling_neutral
nothing to report,feeling_neutral
i’m here,feeling_neutral
i feel sad,feeling_negative
i'm stressed,feeling_negative
i’m anxious,feeling_negative
i feel numb,feeling_negative
i'm angry,feeling_negative
i'm disappointed,feeling_negative
today was rough,feeling_negative
feeling overwhelmed,feeling_negative
i'm not coping,feeling_negative
my chest feels heavy,feeling_negative
everything sucks,feeling_negative
feeling lonely as,feeling_negative
i’m exhausted,feeling_negative
down in the dumps,feeling_negative
i'm struggling heaps,feeling_negative
can we not talk about that,deflection
rather not say,deflection
skip this one,deflection
don’t wanna yarn about it,deflection
let’s change the subject,deflection
"idk, next question",deflection
i’ll tell you later,deflection
not comfy sharing that,deflection
it’s complicated,deflection
leave it for now,deflection
hard to talk about,deflection
no comment,deflection
that’s personal,deflection
can we talk footy instead,deflection
don’t wanna get into it,deflection
ask me something else,deflection
not the right time,deflection
can we yarn later,deflection
i’m busy rn,deflection
"nah, park it",deflection
